procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62309    213    245    0    0     0     0 3737 2933  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3372 2737  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3121 2592  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3606 2670  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3509 2626  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     2 3620 2968  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3437 2636  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3259 2594  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3551 2740  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3655 2792  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3550 2601  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3358 2569  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     3 3125 2597  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3167 2580  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3469 2792  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3057 2440  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3046 2438  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3029 2404  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3152 2459  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     15  62309    213    245    0    0     0     0 4199 2920  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     1 3378 2841  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3042 2421  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3978 2892  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4261 3052  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4321 3173  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3571 2775  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3742 2842  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     3 3379 2585  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3051 2444  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3352 2818  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4252 3029  6  0 94  0  0	
 3  0     15  62309    213    245    0    0     0     0 3736 3094  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4108 3099  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 3493 2638  6  0 94  0  0	
 2  0     15  62309    213    245    0    0     0     0 4132 3239  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     1 3673 2925  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3951 3204  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4252 3042  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3614 2982  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3910 2929  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62309    213    246    0    0     0     0 4290 3116  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 3637 2815  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     3 4030 2834  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 3842 2772  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4232 3119  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 4366 3424  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4201 3039  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4155 3135  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 4054 2772  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4670 3964  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     1 4204 3077  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4512 3677  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 4487 3625  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4103 2953  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3937 3125  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     4 3928 2797  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4352 3404  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     3 4523 3705  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4032 2655  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3145 2441  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 3045 2422  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62309    213    246    0    0     0     0 3113 2576  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3111 2485  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     2 4309 3251  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 3994 2606  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4004 2586  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 4012 2596  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4016 2609  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4008 2590  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4015 2603  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4031 2619  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     4 4042 2647  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4006 2608  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 3409 2502  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3637 2675  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 4141 2952  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4270 3175  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4079 2792  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4309 3251  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3883 2829  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     2 4061 2778  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4232 3250  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62309    213    246    0    0     0     0 4261 3173  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4277 3194  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4270 3186  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 4274 3197  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3998 2625  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     3 4233 3204  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4017 2672  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 4097 2832  6  0 94  0  0	
